"UID","ID","PID","BASISFORPROPERTYSEIZURE","INSERTDATETIME"
"97784c",97784,1,"Evidence","2024-11-13 10:21:57.617"
"97807c",97807,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"97955c",97955,1,"Evidence","2024-11-13 10:21:57.617"
"98514c",98514,1,"Contraband","2024-11-13 10:21:57.617"
"98514c",98514,1,"Evidence","2024-11-13 10:21:57.617"
"98556c",98556,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"98561c",98561,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"98594c",98594,1,"Contraband","2024-11-13 10:21:57.617"
"98594c",98594,1,"Evidence","2024-11-13 10:21:57.617"
"98755c",98755,1,"Evidence","2024-11-13 10:21:57.617"
"98755c",98755,1,"Contraband","2024-11-13 10:21:57.617"
"98769c",98769,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"98777c",98777,1,"Contraband","2024-11-13 10:21:57.617"
"98777c",98777,2,"Contraband","2024-11-13 10:21:57.617"
"98928c",98928,1,"Evidence","2024-11-13 10:21:57.617"
"98980c",98980,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"99049c",99049,1,"Evidence","2024-11-13 10:21:57.617"
"99051c",99051,1,"Evidence","2024-11-13 10:21:57.617"
"99130c",99130,1,"Contraband","2024-11-13 10:21:57.617"
"99169c",99169,1,"Contraband","2024-11-13 10:21:57.617"
"99177c",99177,1,"Contraband","2024-11-13 10:21:57.617"
"99289c",99289,1,"Evidence","2024-11-13 10:21:57.617"
"99359c",99359,1,"Contraband","2024-11-13 10:21:57.617"
"99360c",99360,1,"Evidence","2024-11-13 10:21:57.617"
"99409c",99409,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"99411c",99411,1,"Evidence","2024-11-13 10:21:57.617"
"99452c",99452,1,"Abandoned property","2024-11-13 10:21:57.617"
"99752c",99752,1,"Evidence","2024-11-13 10:21:57.617"
"100063c",100063,1,"Evidence","2024-11-13 10:21:57.617"
